NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT03153319,"Study to Evaluate the Safety and Efficacy of Adalimumab in MPS I, II, and VI",Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,ACTIVE_NOT_RECRUITING,PHASE1 | PHASE2,Mucopolysaccharidosis I | Mucopolysaccharidosis II | Mucopolysaccharidosis VI
NCT02676817,Confocal Laser Endomicroscopy for Assessment of Mucosal Healing in Ulcerative Colitis,European Georges Pompidou Hospital,UNKNOWN,N/A,"Colitis, Ulcerative"
NCT05320159,Treatment Effectiveness Among Psoriasis Patients Treated With Cosentyx (Secukinumab),Novartis Pharmaceuticals,COMPLETED,N/A,Psoriasis
NCT02330380,Comparative Effectiveness of Psoriasis Treatments on Systemic Inflammation,University Hospitals Cleveland Medical Center,COMPLETED,N/A,Psoriasis | Inflammation
NCT00409682,Efficacy and Safety of Adalimumab in Pediatric Subjects With Moderate to Severe Crohn's Disease,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT02073526,Anti-TNF-alpha Trough Level Measurements in Inflammatory Bowel Disease,Oslo University Hospital,COMPLETED,N/A,Inflammatory Bowel Disease | Crohn's Disease | Ulcerative Colitis
NCT00932113,Mechanism of Action Study for Psoriasis,Tufts Medical Center,COMPLETED,PHASE4,Psoriasis
NCT01808118,Continuing Versus Withdrawing Adalimumab in Maintaining Remission in Non-Radiographic Axial Spondyloarthritis,AbbVie,COMPLETED,PHASE3,Axial Spondyloarthritis
NCT00808210,A Study to Evaluate Ocrelizumab in Combination With Methotrexate Compared With Infliximab Plus Methotrexate in Patients With Active Rheumatoid Arthritis Currently Responding Inadequately to Etanercept or Adalimumab,"Genentech, Inc.",TERMINATED,PHASE2,Rheumatoid Arthritis
NCT00730717,Safety and Efficacy Study of Humira in Treatment of Pyoderma Gangrenosum,Wright State University,WITHDRAWN,PHASE2,Pyoderma Gangrenosum
NCT04088409,A Study of Baricitinib (LY3009104) in Participants From 2 Years to Less Than 18 Years Old With Active JIA-Associated Uveitis or Chronic Anterior Antinuclear Antibody-Positive Uveitis,Eli Lilly and Company,ACTIVE_NOT_RECRUITING,PHASE3,Uveitis
NCT04378621,Effect of Antiinflammatory Treatment Versus Hand Training on Neuropsychiatric Comorbidity in RA-patients,Vastra Gotaland Region,UNKNOWN,NA,Rheumatoid Arthritis | Pain | Fatigue | Cognitive Decline | Depression | Brain Diseases | Hand Rheumatism
NCT02456363,Anti-Tumor Necrosis Factor Therapy In Patients With Ankylosing Spondylitis,Chung Shan Medical University,UNKNOWN,PHASE2,Ankylosing Spondylitis
NCT03006809,Optimal Fecal Microbiota Transplant Dosing for Mild to Moderate Ulcerative Colitis,Najwa Elnachef,COMPLETED,PHASE1,Ulcerative Colitis
NCT01185301,Study to Determine the Effects of Different Doses of Methotrexate (MTX) When Taken With Adalimumab in Subjects With Early Rheumatoid Arthritis (RA),"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Early Rheumatoid Arthritis
NCT00963313,A 24 Week Open Label Study of the Utility of Adalimumab in Active Axial Forms of Psoriatic Arthritis,Dr. FRANCISCO J. BLANCO-GARCIA,COMPLETED,N/A,Psoriatic Arthritis
NCT07268534,Biologics in Folliculitis Decalvans : an Adaptative Trial Research,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,PHASE2,Folliculitis Decalvans (FD)
NCT04255134,Biologics for Rheumatoid Arthritis Pain (BIORA-PAIN),"St George's, University of London",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02196701,Concomitant Longitudinal Evaluation of Adalimumab With Methotrexate in the Real World: the CLEAR Study,AbbVie,COMPLETED,PHASE3,Psoriasis
NCT04132388,Hidradenitis Suppurativa Patient Experience With Humira Treatment,Wake Forest University Health Sciences,WITHDRAWN,PHASE4,Hidradenitis Suppurativa
NCT06117423,Fluorescence Imaging of Adalimumab-680LT in Inflammatory Bowel Disease,University Medical Center Groningen,UNKNOWN,PHASE1 | PHASE2,Crohn Disease | Ulcerative Colitis
NCT01181570,Efficacy and Safety of Adalimumab in Patients With Psoriasis and Obstructive Sleep Apnea,Innovaderm Research Inc.,COMPLETED,PHASE4,"Psoriasis | Sleep Apnea, Obstructive"
NCT01114880,Efficacy and Safety of Adalimumab in Adult Chinese Subjects With Active Ankylosing Spondylitis,Abbott,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT02499263,A Prospective Non-interventional Multicenter Study to Evaluate the Effectiveness of Adalimumab in Korean Patients With Ulcerative Colitis (UC) and Identify Potential Predictors of Clinical Response in Routine Clinical Practice,AbbVie,COMPLETED,N/A,Ulcerative Colitis
NCT01086059,OTIS Humira Pregnancy Registry,"University of California, San Diego",COMPLETED,N/A,Crohn's Disease | Rheumatoid Arthritis
NCT02760407,"Evaluation of the Efficacy and Safety of Two Dosing Regimens of Olokizumab (OKZ), Compared to Placebo and Adalimumab, in Subjects With Rheumatoid Arthritis (RA) Who Are Taking Methotrexate But Have Active Disease","R-Pharm International, LLC",COMPLETED,PHASE3,Rheumatoid Arthritis
NCT00524537,A Long-Term Registry of Humira® (Adalimumab) in Subjects With Moderately to Severely Active Crohn's Disease (CD),"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Crohn's Disease
NCT04089514,A Real-world Study of Imraldi® Use,Biogen,COMPLETED,N/A,"Arthritis, Rheumatoid (RA) | Axial Spondyloarthritis (axSpA) | Arthritis, Psoriatic (PsA) | Crohn's Disease (CD) | Colitis, Ulcerative (UC)"
NCT04154852,ADalimumab in Persistent Early Oligoarthrits Study (ADEOS),University of Leeds,COMPLETED,PHASE2,Oligoarthritis
NCT05155592,Reduction or Discontinuation of TNF-α Inhibitor in Non-infectious Uveitis Patients,Dan Liang,UNKNOWN,PHASE2,Uveitis | Adalimumab
NCT01077232,Documentation of Humira in Psoriasis Patients in Routine Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Moderate to Severe Plaque Psoriasis
NCT02856763,Predictive Factors of ANTI-TNF Response in Luminal Crohn's Disease Complicated by Abscess,Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives,COMPLETED,N/A,CD
NCT02779114,RETRO (REduction of Therapy in RA Patients in Ongoing Remission),University of Erlangen-Nürnberg Medical School,UNKNOWN,PHASE3,Rheumatoid Arthritis
NCT03662919,One-year Persistence to Treatment of Participants Receiving Flixabi or Imraldi: a French Cohort Study,Biogen,COMPLETED,N/A,"Arthritis, Rheumatoid | Spondylitis, Ankylosing | Arthritis, Psoriatic | Crohn's Disease | Colitis, Ulcerative"
NCT01060098,T Cells and TNF (Tumor Necrosis Factor): The Impact of TNF Blockade,Imperial College London,COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT03496831,Predicting Hospitalized Infection in Patients With Chronic Inflammatory Arthritis Treated With Biological Drugs,Simon Krabbe,COMPLETED,N/A,Rheumatoid Arthritis | Spondyloarthritis | Psoriatic Arthritis
NCT03917303,Control Crohn Safe Trial,Maastricht University Medical Center,RECRUITING,PHASE4,Crohn Disease | Inflammatory Bowel Diseases
NCT07093827,A Prospective Cohort Study on the Effect of Spinal Spinal Cord Injury on Sexual Function in Male Patients,Peking University Third Hospital,ACTIVE_NOT_RECRUITING,N/A,Sexual Function Abnormal | Spinal Cord Injuries (SCI)
NCT03014947,MSB11022 in Healthy Subjects,Fresenius Kabi SwissBioSim GmbH,COMPLETED,PHASE1,Healthy Subjects
NCT01465438,HUmira in Psoriatic Arthritis,"Glostrup University Hospital, Copenhagen",COMPLETED,PHASE4,Psoriatic Arthritis
NCT00714493,RESTART C0168Z05 Rheumatoid Arthritis Study,"Centocor Ortho Biotech Services, L.L.C.",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02163759,A Study Comparing the Efficacy and Safety of Etrolizumab With Adalimumab and Placebo in Participants With Moderate to Severe Ulcerative Colitis (UC) in Participants Naive to Tumor Necrosis Factor (TNF) Inhibitors,Hoffmann-La Roche,COMPLETED,PHASE3,Ulcerative Colitis
NCT06033469,Therapeutic Monitoring of Infliximab and Adalimumab,IRCCS Burlo Garofolo,UNKNOWN,N/A,Inflammatory Bowel Diseases
NCT00837434,Anti-TNF Agents for the Treatment of Rheumatoid Arthritis,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03316781,Study of Efficacy and Safety of HLX03 in Subjects With Moderate to Severe Plaque Psoriasis,Shanghai Henlius Biotech,COMPLETED,PHASE3,Plaque Psoriasis
NCT01468233,Efficacy and Safety Study of Adalimumab in the Treatment of Hidradenitis Suppurativa,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Hidradenitis Suppurativa (HS)
NCT06729463,IKBKB Gene Polymorphism (Single Nucleotide Polymorphism) (SNP) in Psoriatic and Psoriatic Arthritis Patients,South Valley University,COMPLETED,NA,Psoriasis | Psoriatic Arthritis
NCT01383421,Observational Study to Explore the Effectiveness of Adalimumab Treatment in Conjunction With Utilization of a Patient Support Program (PSP),"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT01724268,Corticosteroids and Anti TNF in Methotrexate Inadequate Responder Rheumatoid Arthritis Patient,Hamad Medical Corporation,UNKNOWN,PHASE3,RHEUMATOID ARTHRITIS
NCT00224562,The RATIO: Registry of Infections and Lymphoma in Patients Treated With TNF-a Antagonists,Assistance Publique - Hôpitaux de Paris,UNKNOWN,N/A,Rheumatoid Arthritis | Crohn's Disease | Ankylosing Spondylitis | Psoriasis
NCT04588818,Adalimumab Plus Methotrexate for the Treatment of Pediatric Uveitis,Sun Yat-sen University,UNKNOWN,PHASE2,Uveitis
NCT01764997,An Evaluation of Sarilumab Plus Methotrexate Compared to Etanercept Plus Methotrexate in RA Patients Not Responding to Adalimumab Plus Methotrexate,Sanofi,TERMINATED,PHASE3,Rheumatoid Arthritis
NCT01163318,Special Investigation of Humira® (Adalimumab) on Long-term Treatment in Patients With Rheumatoid Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT04321291,Information and Acceptability of Biosimilars,"University Hospital, Montpellier",UNKNOWN,NA,Rheumatoid Arthritis | Spondyloarthritis | Psoriatic Arthritis
NCT03142113,Clinical Outcome After Escalation and De-escalation of Adalimumab in Real Life in Ulcerative Colitis,Universitaire Ziekenhuizen KU Leuven,COMPLETED,N/A,Ulcerative Colitis
NCT02471118,"Osteoarthritis of the Knee, Inflammation, and the Effect of Adalimumab (OKINADA)",CARE ARTHRITIS LTD.,COMPLETED,PHASE2,"Osteoarthritis, Knee"
NCT00927069,Safety and Efficacy of Adalimumab in Patients Who Showed an Unsatisfactory Response to Etanercept,Innovaderm Research Inc.,COMPLETED,PHASE3,Plaque Psoriasis
NCT01629628,Adalimumab for the Management of Post-operative Crohn's Disease (CD),Tel-Aviv Sourasky Medical Center,UNKNOWN,PHASE3,Crohn Disease
NCT03052322,MSB11022 in Moderate to Severe Rheumatoid Arthritis,Fresenius Kabi SwissBioSim GmbH,COMPLETED,PHASE3,Moderate to Severe Rheumatoid Arthritis
NCT00650390,Open Label Study to Assess Efficacy and Safety of the Fully Human Anti-TNF-Alpha Monoclonal Antibody Adalimumab,Abbott,APPROVED_FOR_MARKETING,N/A,Rheumatoid Arthritis
NCT01387815,Canadian Humira Post Marketing Observational Epidemiological Study: Assessing Effectiveness in Psoriasis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Psoriasis
NCT06563635,Frequency of Tuberculosis in Psoriasis Patients,Bezmialem Vakif University,COMPLETED,N/A,Psoriasis Vulgaris | Tuberculosis
NCT02778789,Comparing the Efficacy of Periarticular Bone Structure in Patients Treated With Either Tocilizumab or Tumor Necrosis Factor Blockers,University of Erlangen-Nürnberg Medical School,COMPLETED,N/A,Rheumatoid Arthritis
NCT01553058,Vascular Inflammation in Psoriasis Trial (The VIP Trial),University of Pennsylvania,COMPLETED,PHASE4,Psoriasis | Cardiovascular Disease
NCT07113834,Characteristics of Ankylosing Spondylitis Associated Uveitis,Benha University,COMPLETED,N/A,Uveitis
NCT00508547,Psoriasis Longitudinal Assessment and Registry,"Janssen Scientific Affairs, LLC",ACTIVE_NOT_RECRUITING,N/A,Psoriasis
NCT01270035,Efficacy and Safety of Adalimumab 80 mg Every Other Week With Methotrexate,Keio University,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT01235689,Efficacy and Safety of Two Treatment Algorithms in Adults With Moderate to Severe Crohn's Disease,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Crohn's Disease
NCT01275508,Safety and Tolerability of FITC-Adalimumab Administration During Confocal Laser Endomicroscopy of the Gut,University of Erlangen-Nürnberg Medical School,COMPLETED,PHASE1 | PHASE2,Crohn's Disease
NCT03561649,Prediction of Treatment Response at 6 Months by Combinatorial Analysis of Serum Biomarkers in Biotherapy Naive SpA,"University Hospital, Grenoble",COMPLETED,NA,"Spondylitis, Ankylosing"
NCT05913817,The Evaluation of Injection Site Pain and Adherence in Patients Switching From a Low To High Concentration Adalimumab (AVT-02) Across Multiple Indications.,Jamp Pharma Corporation,COMPLETED,N/A,Crohn Disease | Ulcerative Colitis | Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Plaque Psoriasis | Hidradenitis Suppurativa
NCT04135508,A Phase III Study Evaluate the Efficacy and Safety of BAT1406 and Humira,Bio-Thera Solutions,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT02016482,A Study to Evaluate the Safety and Efficacy of Adalimumab in Subjects With Chronic Plaque Psoriasis and Nail Psoriasis,AbbVie,COMPLETED,PHASE3,Nail Psoriasis | Plaque Psoriasis
NCT05305066,Stand UP to Rheumatoid Arthritis (SUPRA),"Marie Hudson, MD",RECRUITING,NA,Rheumatoid Arthritis
NCT06528431,Design and Evaluation of an Individualized Biodrug Tapering Strategy Based on Biodrug Dosage: the MONITORA Study,Centre Hospitalier Universitaire de Saint Etienne,RECRUITING,PHASE4,"Arthritis, Rheumatoid"
NCT02472912,Adalimumab PK Bioequivalence Study to EU and US Sourced Humira,Mylan Inc.,COMPLETED,PHASE1,Healthy Volunteers
NCT02814175,A Study of Subjects With Psoriatic Arthritis to Investigate the Effectiveness of Adalimumab Introduction Compared With Methotrexate Dose Escalation (CONTROL),AbbVie,COMPLETED,PHASE4,Psoriatic Arthritis
NCT03180957,Repurposing Anti-TNF for Treating Dupuytren's Disease,University of Oxford,COMPLETED,PHASE2,Dupuytren's Disease
NCT07529236,"Digestive Evolution of Children With Crohn's Disease or Ulcerative Colitis Whose Anti-TNFα Treatment Was Switched to Ustekinumab Due to Paradoxical Psoriasis,",Centre Hospitalier Universitaire de Nice,NOT_YET_RECRUITING,N/A,Chronic Inflammatory Bowel Diseases
NCT02878083,Development of a Biomarker of Efficacy of Vedolizumab (EnTyvio®) in Patients With ulcErative ColiTis (DETECT),Nantes University Hospital,TERMINATED,NA,ULCERATIVE COLITIS
NCT05460390,Proactive Therapeutic Drug Monitoring Based Adalimumab Therapy Optimization in Patients With Rheumatoid Arthritis,Boston Medical Center,TERMINATED,NA,Rheumatoid Arthritis
NCT00234845,Adalimumab in Combination With Methotrexate vs Methotrexate Alone in Early Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT06715254,"A Real-world Study of Tuberculosis Incidence in AS, PsA, or PsO Patients Treated With Secukinumab in Brazil",Novartis Pharmaceuticals,TERMINATED,N/A,Tuberculosis
NCT06045754,A Study of Vedolizumab Intravenous (IV) and Adalimumab or Vedolizumab and Ustekinumab in Adults With Crohn's Disease,Takeda,RECRUITING,PHASE4,Crohn's Disease
NCT00514982,Medical Treatment of Colitis in Patients With Hermansky-Pudlak Syndrome,National Institute of Allergy and Infectious Diseases (NIAID),WITHDRAWN,PHASE2,Hermanski-Pudlak Syndrome | Colitis | Cytokines | Lymphocytes | Drug Evaluation
NCT03710486,A Study to Observe Vedolizumab and Anti-tumour Necrosis Factors (Anti-TNFs) Outcomes in Real-world Biologic Ulcerative Colitis (UC) and Crohn's Disease (CD) Participants,Takeda,COMPLETED,N/A,"Colitis, Ulcerative | Crohn Disease"
NCT05814627,Study to Assess Change in Disease Activity and Adverse Events of Oral Upadacitinib Compared to Subcutaneous Adalimumab in Adult Participants With Moderate to Severe Rheumatoid Arthritis,AbbVie,ACTIVE_NOT_RECRUITING,PHASE3,Rheumatoid Arthritis
NCT06126835,A Study to Evaluate the Safety of Ozanimod Exposure During Pregnancy in Women With Ulcerative Colitis and Their Infants,Bristol-Myers Squibb,ACTIVE_NOT_RECRUITING,N/A,Ulcerative Colitis
NCT05015335,The Efficacy and Safety of Adalimumab in Non-infectious Anterior Pediatric Uveitis With Peripheral Vascular Leakage,Peking Union Medical College Hospital,UNKNOWN,PHASE4,"Uveitis, Anterior | Adalimumab"
NCT01338740,Switching From Adalimumab to Infliximab,"University Hospital, Ghent",COMPLETED,N/A,Crohn's Disease
NCT01903317,Evaluation of Vitamin D Levels in Psoriasis Patients,"University of California, Irvine",WITHDRAWN,N/A,Psoriasis
NCT03011268,Anti-tumor Necrosis Factor in Patients With Ulcerative Colitis in Clinical Remission: to Continue or Not?,Helse Møre og Romsdal HF,COMPLETED,NA,"Colitis,Ulcerative"
NCT04610476,Impact of Tapering Immunosuppressants on Maintaining Minimal Disease Activity in Adult Subjects With Psoriatic Arthritis,University of Erlangen-Nürnberg Medical School,UNKNOWN,PHASE3,Psoriatic Arthritis | Withdrawal | Reduction
NCT03339089,Real-world Effectiveness of Adalimumab on Health Outcomes in Chinese Patients With Immune-Mediated Inflammatory Diseases,AbbVie,COMPLETED,N/A,Ankylosing Spondylitis (AS) | Psoriasis | Rheumatoid Arthritis (RA)
NCT03579823,"Comparative Safety, Tolerability, Pharmacokinetic Study of AVT02 (100MG/ML) and Humira (100MG/ML) in Healthy Volunteers",Alvotech Swiss AG,COMPLETED,PHASE1,Healthy Volunteers
NCT00427362,A Canadian Open-Label Study to Evaluate the Safety and Effectiveness of Adalimumab When Added to Inadequate Therapy for the Treatment of Psoriatic Arthritis (PsA) (ACCLAIM),Abbott,COMPLETED,PHASE3,Psoriatic Arthritis
NCT04003922,Study on Patients With Rasmussen Encephalitis Treated With Adalimumab: Efficacy and Tolerance in the Short and Long Term,Assistance Publique Hopitaux De Marseille,UNKNOWN,N/A,Rasmussen Encephalitis
NCT02333383,Observe the Frequency of Extra-Axial Symptoms in Korean Ankylosing Spondylitis (AS) Patients,AbbVie,COMPLETED,N/A,Ankylosing Spondylitis
NCT02927353,A Phase 1 Pharmacokinetic Bioequivalence Study of DMB-3113 and Adalimumab in Healthy Japanese Adult Male Subjects,"Meiji Seika Pharma Co., Ltd.",COMPLETED,PHASE1,Healthy Volunteer
NCT01716039,Pharmacokinetics of Adalimumab With Methotrexate for Treatment of Patients With Ulcerative Colitis (UC),Alimentiv Inc.,TERMINATED,PHASE2,Ulcerative Colitis
NCT00348153,Adalimumab in Uveitis Refractory to Conventional Therapy (ADUR Trial),Heidelberg University,UNKNOWN,PHASE2 | PHASE3,Uveitis
NCT06370156,Evaluation of TWEAK in Plaque Psoriasis and Psoriatic Arthritis Patients,Egymedicalpedia,NOT_YET_RECRUITING,N/A,Plaque Psoriasis
NCT00649545,Study of the Human Anti-TNF Monoclonal Antibody in Patients With Active Rheumatoid Arthritis,Abbott,APPROVED_FOR_MARKETING,N/A,Rheumatoid Arthritis
NCT06062875,Effects of TNF Blockade on Human BPH/LUTS,Endeavor Health,RECRUITING,PHASE2,Benign Prostatic Hyperplasia (BPH)
NCT04422171,A 12-month Real Life Study of IBD Patients Switched From Adalimumab Originator Humira® to One of Its Biosimilar,"University Hospital, Grenoble",UNKNOWN,N/A,"IBD Patients, Originator Treatment, Biosimilar, Switch Back"
NCT04873700,"A Study of Moderate to Severe Inflammatory Bowel Disease, Including Ulcerative Colitis (UC) and Crohn's Disease (CD)",Takeda,COMPLETED,N/A,"Inflammatory Bowel Diseases | Colitis, Ulcerative | Crohn Disease"
NCT00445432,A Study of Adalimumab for the Maintenance of Clinical Remission in Japanese Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE2 | PHASE3,Crohn's Disease
NCT01012570,The Effect of Adalimumab on the Bone Microstructure in Crohn's Disease (CD) Patients,Gerhard Rogler,TERMINATED,N/A,Crohn's Disease
NCT00647400,Adalimumab in Adult Japanese Subjects With Psoriasis,Abbott,COMPLETED,PHASE2 | PHASE3,Psoriasis
NCT01084668,Quality of Life in Adalimumab Treated Psoriasis Patients Failing Other Biologic Disease Modifying Anti-rheumatic Drugs,Abbott,COMPLETED,N/A,Psoriasis Chronic
NCT04870203,Combination of Baricitinib and Anti-TNF in Rheumatoid Arthritis,"University Hospital, Bordeaux",ACTIVE_NOT_RECRUITING,PHASE3,Rheumatoid Arthritis
NCT02374021,Treatments Against RA and Effect on FDG-PET/CT,Brigham and Women's Hospital,COMPLETED,PHASE4,"Arthritis, Rheumatoid"
NCT00972218,Effectiveness and Safety of Spondylitis Related to Inflammatory Bowel Disease,University of Alberta,WITHDRAWN,PHASE4,Spondyloarthritis | Crohn's Disease
NCT00690846,Study to Determine the Safety and Efficacy of Adalimumab in the Treatment of Pyoderma Gangrenosum,Wake Forest University Health Sciences,WITHDRAWN,PHASE2,Pyoderma Gangrenosum
NCT02893254,Efficacy and Safety of IBI303 in Adult Patients With Active Ankylosing Spondylitis,Innovent Biologics (Suzhou) Co. Ltd.,COMPLETED,PHASE3,AS
NCT02590562,An Observational Study to Describe in Routine Clinical Practice the Treatment Patterns of Usage of Biological DMARDs in RA Patients.,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT02065622,Study to Evaluate the Safety and Efficacy of Two Adalimumab Dosing Regimens in Subjects With Moderate to Severe Ulcerative Colitis,AbbVie,COMPLETED,PHASE3,Ulcerative Colitis (UC)
NCT05535738,Using a Contact Dermatitis Model With Biologic Medications to Study Skin Inflammation,Wei-Che Ko,RECRUITING,PHASE2 | PHASE3,Skin Inflammation | Allergic Contact Dermatitis
NCT01559038,Canadian Humira Post Marketing Observational Epidemiological Study Assessing Effectiveness in Psoriatic Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Psoriatic Arthritis
NCT04721873,Pharmacologic Weight Loss as Adjunct Therapy for Ulcerative Colitis in Obese Patients,"University of California, San Diego",RECRUITING,PHASE2,"Colitis, Ulcerative | Obesity"
NCT01856569,Assial - Anti Tnf Treatment in Ankylosing Spondylitis: an Observational Cohort Study in Italy,Pfizer,COMPLETED,N/A,Ankylosing Spondylitis
NCT01202565,Effectiveness of Adalimumab (HUMIRA®) in the Treatment of Scalp and Nail Affection in Patients With Moderate to Severe Plaque Psoriasis in Routine Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Moderate to Severe Plaque Psoriasis
NCT00667355,A Study of Adalimumab in Japanese Subjects With Active Ankylosing Spondylitis,Abbott,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT04360785,Effect of Two Methotrexate in Sync With the First Adalimumab to Prevent the Immunisation Anti Ada in Spondyloarthritis,Assistance Publique - Hôpitaux de Paris,COMPLETED,NA,Spondyloarthritis
NCT05599347,Pre-treatment With Azithromycin to Reduce Immunogenicity to to Anti-TNF Agents in Patients With Crohn's Disease,Rambam Health Care Campus,RECRUITING,PHASE2,Crohn's Disease Relapse | Biological Substance; Adverse Effect
NCT04147026,Prediction Medical Device for Rheumatoid Arthritis (PREDIRA),"Hospital San Carlos, Madrid",UNKNOWN,NA,"Arthritis, Rheumatoid"
NCT04997733,Fecal Microbiota Transplantation in Crohn's Disease as Relay After Anti-TNF Withdrawal,Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,Crohn Disease
NCT01124838,Efficacy and Safety of Adalimumab in Subjects With Inactive Uveitis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Uveitis
NCT01101555,Repeat Dose Subcutaneous Rhumatoid Arthritis Efficacy Study,GlaxoSmithKline,COMPLETED,PHASE1,"Arthritis, Rheumatoid"
NCT06269185,Comparison Between Infliximab and Adalimumab on Patients With Ulcerative Colitis,Vastra Gotaland Region,COMPLETED,N/A,Ulcerative Colitis | Inflammatory Bowel Diseases
NCT01078558,"A Belgian Registry of HUMIRA® (Adalimumab) in Rheumatoid Arthritis, Psoriatic Arthritis and Ankylosing Spondylitis ( ProAct )","AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis
NCT02393378,Namilumab vs Adalimumab in Participants With Moderate to Severe Early Rheumatoid Arthritis Inadequately Responding to Methotrexate,Takeda,TERMINATED,PHASE2,Rheumatoid Arthritis
NCT06811558,Ixekizumab Versus Secukizumab in Over 70-year-old Patients with Psoriasis,"Second Affiliated Hospital, School of Medicine, Zhejiang University",NOT_YET_RECRUITING,NA,Over 70-year-old Patients with Psoriasis
NCT06257875,A Study to Assess Adverse Events and Change in Disease Activity From Intravenous (IV) and Subcutaneous (SC) Lutikizumab in Adult Participants With Active Ulcerative Colitis,AbbVie,ACTIVE_NOT_RECRUITING,PHASE2,Ulcerative Colitis
NCT07208539,AG Followed by FOLFIRINOX Both Combined With PD-L1 Antibodies as a Conversion Therapy for Borderline Resectable and Locally Advanced Pancreatic Cancer.,Shanghai Zhongshan Hospital,NOT_YET_RECRUITING,PHASE2,Pancreatic Cancer
NCT05108259,To Compare the Pharmacokinetics and Safety of PBP1502 and Humira in Healthy Subjects,Prestige Biopharma Limited,RECRUITING,PHASE1,Healthy Volunteers
NCT04721743,Microbiome as a ThErapeutic Response Biomarker,National Eye Institute (NEI),WITHDRAWN,N/A,Uveitis
NCT02167139,A Study Comparing SB5 to Humira® in Subjects With Moderate to Severe Rheumatoid Arthritis Despite Methotrexate Therapy,"Samsung Bioepis Co., Ltd.",COMPLETED,PHASE3,Rheumatoid Arthritis
NCT07149467,"Ustekinumab and Upadacitinib for Induction and Maintenance Therapy in Patients With Refractory Crohn's Disease: A Multicenter, Randomized, Parallel-Controlled Study","Sixth Affiliated Hospital, Sun Yat-sen University",NOT_YET_RECRUITING,PHASE3,Crohn&#39;s Disease Aggravated | Crohn&#39;s Disease in Remission
NCT05164198,REduCed Dose of TNFi in Patients With Ankylosing SpondyliTis (RECAST),Hanyang University Seoul Hospital,UNKNOWN,PHASE4,Ankylosing Spondylitis | Axial Spondyloarthritis
NCT01793519,Stopping TNF Alpha Inhibitors in Rheumatoid Arthritis,Georgetown University,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT06673134,Prospective Cohort Establishment and Clinical Observation of Children With Crohn's Disease,Tongji Hospital,ACTIVE_NOT_RECRUITING,N/A,Crohn Disease
NCT01083121,Surveillance of Humira Injection in Korean Patients,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis | Crohn's Disease | Psoriasis
NCT05720221,Biologics in Management of Inflammatory Bowel Disease in Egyptian Patients,Helwan University,COMPLETED,N/A,IBD
NCT00105300,Study of the Human Anti-TNF Monoclonal Antibody Adalimumab for the Induction of Clinical Remission in Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT00195663,Efficacy and Safety of Adalimumab and Methotrexate (MTX) Versus MTX Monotherapy in Subjects With Early Rheumatoid Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Early Rheumatoid Arthritis
NCT01764321,Noninterventional Examination of Subcutaneous (sc) Tumor Necrosis Factor (TNF) Inhibitors,UCB Pharma SA,COMPLETED,N/A,Rheumatoid Arthritis
